people,pr_num,review_num,avg_review_num,avg_review_comment_length,avg_review_response_time,approve_rate,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
RemcoBuddelmeijer,1,2,2.0,1518.0,8693.2,0.0,-0.0095023192869451,1,-10.729965304733568,1,-5.024488718546657,1,1
Roli24,2,2,1.0,58.0,159523.11666666664,0.0,0.0353661680803556,1,-4.056955820477489,1,-3.4901763636097463,1,1
Sam-Kruglov,1,2,2.0,1820.0,2.333333333333333,0.0,-0.0452342897779028,1,-11.891234465546464,1,-6.064314617538402,-1,1
TAKETODAY,1,1,1.0,115.0,1287.9166666666667,0.0,0.1786811361582136,1,0.3258689176373437,1,-1.0060174452818789,1,1
alienisty,1,1,1.0,17.0,2529.9,0.0,0.1688974521666723,1,-0.0288923218194963,1,-0.9809444361164396,1,1
andrei-ivanov,2,2,1.0,55.0,2087.4833333333336,0.0,0.1195818568674993,1,0.2332563020525544,1,-0.9920387324974688,1,1
aooohan,1,1,1.0,4.0,60.18333333333333,0.0,0.1623814239088649,1,-0.1578856282274614,1,-0.9979306476246704,1,1
artembilan,1,1,1.0,134.0,28.7,0.0,0.1764467501802065,1,0.3318017425892634,1,-0.9964587336193867,1,1
ascopes,1,1,1.0,158.0,6.233333333333333,0.0,0.1770061236049888,1,0.3565595542021089,1,-0.9992655577756032,1,1
bananayong,2,4,2.0,252.25,4477.325,0.0,0.0979757370226266,1,1.763158508154671,1,-1.2453038736362276,1,1
bironran,1,1,1.0,487.0,30506.85,0.0,0.1005988701591493,1,-0.8971586506309084,1,-1.8710821833029092,1,1
cdalexndr,1,1,1.0,49.0,727.4333333333333,0.0,0.1778159522414752,1,0.0934171075388725,1,-0.9886327517314806,1,1
cuspymd,10,14,1.4,127.35714285714286,8544.138333333332,0.0588235294117647,-0.0927267328655596,1,-5.911864276578111,1,-3.760042007261871,1,1
diguage,2,2,1.0,99.5,45995.708333333336,0.0,0.0814482803513245,1,0.6451805303874067,1,-1.3166165370347769,1,1
dongbaibai,1,1,1.0,25.0,956.5333333333332,0.0,0.1743105032563488,1,-0.0190808874158943,1,-0.98194005159105,1,1
dreis2211,1,3,3.0,35.0,3137.0666666666666,0.0,0.1410092766165901,1,0.9852778619248516,1,-1.0664183006123604,1,1
dsyer,1,5,5.0,82.2,1681.3333333333333,0.0,0.0897469787314108,1,-2.3893357069851167,1,-1.5611400166575158,1,1
encircled,1,2,2.0,154.0,9852.433333333332,0.0,0.1566538379190549,1,1.896563548379646,1,-1.2647158226023778,1,1
gdagitrep,1,3,3.0,95.0,1344.6,0.0,0.1525809907321615,1,1.2056476120119584,1,-1.0556341081120832,1,1
hpoettker,1,1,1.0,24.0,2083.3,0.0,0.1744811775904199,1,-3.96998576235319e-08,1,-0.9822456912983604,1,1
hrybs,2,4,2.0,61.0,2508.0,0.0,0.1100472078326852,1,1.566716329433385,1,-1.259112435670661,1,1
jackmiking,1,1,1.0,40.0,76155.0,0.0,0.113264450446877,1,-0.2708606483577149,1,-1.9655717368133268,1,1
jamesbassett,1,1,1.0,916.0,398451.5333333333,0.0,-0.0687959384287196,1,-11.686686482074672,1,-5.163549011967642,-1,1
jerzykrlk,1,5,5.0,291.2,2.0,0.0,0.0739580585889587,1,-2.4957446215611583,1,-1.5861227028752132,1,1
jhoeller,2,3,1.5,777.6666666666666,395.9333333333333,0.0,0.0148110981614534,1,-3.854670298339679,1,-2.629133127604793,1,1
jlaber,1,3,3.0,239.0,124446.38333333332,0.0,0.081973602324574,1,-1.5249231389040023,1,-1.5804341973710634,1,1
jonatan-ivanov,2,4,2.0,132.5,1829.358333333333,0.0,0.1139334375577294,1,1.7772635791538782,1,-1.2305772718313326,1,1
jprinet,1,2,2.0,185.0,126.0,0.0,0.1628244519767714,1,1.697010537031634,1,-1.2576530374453747,1,1
katzyn,1,1,1.0,298.0,2071.2833333333333,0.0,0.1608259942271763,1,0.1461193183874432,1,-1.259734465018052,1,1
kevin0x90,1,3,3.0,142.33333333333334,245.26666666666668,0.0,0.1536061584260083,1,1.2850599120024242,1,-1.0573324095602066,1,1
kkocel,1,1,1.0,219.0,21098.816666666666,1.0,-0.1000626681910429,-1,-13.141551901828493,-1,-8.970609481337444,-1,-1
ks-yim,1,3,3.0,538.0,399042.76666666666,0.0,-0.0669917745828143,1,-12.025199687631918,1,-3.5853740495348987,1,1
larsgrefer,1,1,1.0,221.0,1011.1833333333332,0.0,0.1728081055921582,1,0.3483975895934623,1,-1.0205861155489475,1,1
luvarqpp,1,2,2.0,41.0,358.26666666666665,0.0,0.1566455598455082,1,1.3417490554013032,1,-1.3028919274359831,1,1
marcingrzejszczak,2,10,5.0,83.3,89593.64166666668,0.0,-0.0495397080539664,1,-3.893777391796169,1,-1.5384878573724292,1,1
marschall,1,4,4.0,190.75,803.1,0.0,0.1233855440909409,1,-0.0991975467521371,1,-1.3711129765566812,1,1
mdeinum,1,2,2.0,123.5,473.4166666666667,0.0,0.1637343206458543,1,1.6511263480365166,1,-1.224155853607104,1,1
mp911de,2,5,2.5,308.6,144627.15,0.0,0.00753310885772,1,-2.42849875412897,1,-1.9299179007272125,1,1
nguyensach,1,1,1.0,393.0,975.4333333333332,0.0,0.1535969512026842,1,-0.4176736497205962,1,-1.5255382264040374,1,1
nhavuong,1,1,1.0,35.0,998.3833333333332,0.0,0.1768531531162666,1,0.0332446401506096,1,-0.9848328832415943,1,1
nivolg,1,1,1.0,197.0,16708.283333333333,0.0,0.161995176803018,1,0.6421654053338255,1,-0.9858028115303392,1,1
