people,pr_num,review_num,avg_review_num,avg_review_comment_length,avg_review_response_time,approve_rate,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
henriquecf,2,2,1.0,364.0,30468.55,0.0,0.082949409121548,1,-1.709729251287154,1,-1.7945031110626146,1,1
jesseshieh,1,2,2.0,143.0,336.8,0.0,0.1664473857023766,1,1.3198610019392572,1,-1.0141176631457798,1,1
josevalim,67,175,2.611940298507463,138.30285714285714,14319.95497512438,0.0714285714285714,-0.2674553755425795,-1,-10.12083698355974,-1,-5.598234919404012,-1,-1
kayuapi,1,2,2.0,170.5,699.1666666666666,0.0,0.163487577303957,1,1.4772625822845509,1,-1.000171260617337,1,1
kelvinst,1,1,1.0,130.0,737.6166666666667,0.0,0.1720737194659116,1,0.3178944501783736,1,-0.997967355117854,1,1
koga1020,1,2,2.0,113.5,2.433333333333333,0.0,0.1664268939763323,1,1.0883263068683051,1,-1.0120971529320435,1,1
leandrocp,3,13,4.333333333333333,290.38461538461536,1315.9,0.0,0.0195960954263797,1,-1.9995297893989663,1,-1.6003289822901745,1,1
mad42,1,4,4.0,69.25,5138.4,0.0,0.1023874180017695,1,-1.2437008648728811,1,-1.4967460150589893,1,1
marcandre,2,4,2.0,92.75,17041.55,0.2,0.0761832091774117,1,0.611373724686981,1,-1.4512351446660048,1,1
marciotrindade,1,1,1.0,60.0,243.61666666666667,0.0,0.1739092137292532,1,-0.2632894559312451,1,-0.9828548432098704,1,1
mcrumm,10,18,1.8,149.72222222222223,1892.625,0.0833333333333333,-0.0247517850982444,1,0.3391152005169999,1,-1.1312225037666523,1,1
mikl,1,1,1.0,59.0,7.7,0.0,0.1739092137292532,1,-0.3073542094273804,1,-0.9827495567920188,1,1
milmazz,5,5,1.0,127.4,867.8233333333332,0.1428571428571428,0.022054094623427,1,-0.0702513820224819,1,-1.010444525227497,1,1
mrkurt,2,2,1.0,101.5,1139.1083333333331,0.0,0.1554412088959562,1,0.2216259486526954,1,-0.9991225590088232,1,1
mveytsman,2,2,1.0,210.5,567.9416666666667,0.0,0.1469456063549838,1,0.4191371670389241,1,-0.975843601062272,1,1
nickjj,2,6,3.0,486.1666666666667,21019.483333333334,0.3333333333333333,-0.0337500513939115,1,-4.248859667597218,1,-1.7458555209571525,1,1
paulo-silva,1,1,1.0,19.0,66.98333333333333,0.0,0.1494601129098496,1,-0.7478923568661067,1,-0.997604239279154,1,1
philss,3,4,1.3333333333333333,147.25,1949.1277777777773,0.0,0.1323957877457797,1,1.103585044353702,1,-0.9564382646859132,1,1
rktjmp,1,3,3.0,516.3333333333334,30129.25,0.0,0.0477866706846457,1,-3.486269876570291,1,-1.729683848354742,1,1
sadjow,1,2,2.0,200.5,24.35,0.0,0.1583178007277065,1,1.395556411287723,1,-1.0122291625932782,1,1
snewcomer,1,5,5.0,52.8,19317.08333333333,1.0,-0.1296402796558533,-1,-9.900601775481254,-1,-3.1065760814413723,-1,-1
sorentwo,1,1,1.0,79.0,1496.9,0.0,0.1733552861774067,1,0.0841306680762752,1,-0.9904041717031562,1,1
the-mikedavis,1,1,1.0,95.0,0.65,0.0,0.1770492291485069,1,8.832216804677273e-05,1,-0.9914887189637483,1,1
thiamsantos,1,1,1.0,101.0,76.35,0.0,0.1771499297589622,1,0.0536888080599684,1,-0.9966181551811166,1,1
thojanssens,1,1,1.0,27.0,73190.2,0.0,0.012561045006593,1,-7.14367294571039,1,-2.7077308853193904,1,1
tmbb,1,1,1.0,1031.0,23465.63333333333,0.0,-0.0599675236101022,1,-9.097252044673828,-1,-3.136956585788728,-1,-1
