people,pr_num,merge_rate,avg_assign_reviewer_num,avg_response_time,avg_response_interval,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
brumi1024,5,0.0,0.2,21614.08,30568.05416666667,0.000525162034584,1,-0.3413159259245368,1,-3.7844365997588714,1,1
bshashikant,2,1.0,0.0,16940.391666666666,110807.25,0.0666791502734693,1,-0.8775345552759575,1,-1.1246731971681323,1,1
busbey,1,0.0,0.0,465.28333333333336,0.0,0.1599523278633762,1,-0.0198755680424937,1,-0.9709213958244266,1,1
cheyu2022,1,0.0,0.0,1046.6333333333334,0.0,0.1628802733194354,1,-0.0006689154906709,1,-0.9742539669801352,1,1
cnauroth,3,0.6666666666666666,0.0,8352.044444444444,201452.3333333333,-0.0183037013476842,1,-4.995121533603903,1,-1.7990111521823948,1,1
cndaimin,1,0.0,0.0,46135.15,0.0,0.1426909708956069,1,0.5921907985077297,1,-2.6798850391769067,1,1
cyrus-jackson,1,0.0,0.0,241761.95,0.0,0.0210023884437917,1,-10.394700117908368,1,-5.88534102526302,1,1
dependabot[bot],1,0.0,0.0,10093.9,0.0,0.1629728460875353,1,0.2611584165268787,1,-1.0214949173314047,1,1
dineshchitlangia,5,1.0,0.0,6651.68,155712.23333333334,0.0223201659132549,1,-3.0775440596977437,1,-1.418834879191896,1,1
fapifta,1,0.0,1.0,11342.65,0.0,-0.1101152153613279,-1,-15.833366677530396,-1,-22.120327500358844,-1,-1
fengnanli,1,1.0,0.0,248604.15,0.0,-0.0662646736672806,1,-13.77271158249366,1,-3.412229717930769,1,1
ferhui,61,0.9836065573770492,0.0163934426229508,21368.685792349726,11092.553611111112,0.0091799695055156,1,-1.3347044253658602,1,-1.4860338894526677,1,1
giovannifumarola,1,1.0,0.0,1391.4833333333331,0.0,0.0937890382413052,1,-0.3092339093704552,1,-0.9815422411196436,1,1
goiri,54,1.0,0.0555555555555555,19022.07098765432,14097.564779874214,0.0255904766252979,1,-0.7019660910134888,1,-1.3292957377914156,1,1
haiyang1987,3,0.3333333333333333,0.0,10235.933333333332,5238.591666666666,0.0856474298358707,1,1.3298426422499467,1,-7.61994784370157,-1,1
hemanthboyina,7,1.0,0.0,11593.828571428572,82418.50555555556,0.0838959194174357,1,0.1726022435401688,1,-1.0144755135626653,1,1
iwasakims,33,0.8787878787878788,0.0,10977.09292929293,23808.65468750001,0.0367472634336164,1,1.330385660034846,1,-1.0392318096002,1,1
jbrennan333,5,1.0,0.0,12097.666666666666,34553.620833333334,0.1091026716690616,1,0.582828455384238,1,-0.9915096816981092,1,1
jclarysse,1,0.0,0.0,76482.03333333334,0.0,0.1245152309036794,1,0.0055135891589692,1,-3.280151692627915,1,1
jianghuazhu,1,0.0,0.0,2833.383333333333,0.0,0.1626466551283732,1,0.0565761703456466,1,-0.9844964568957828,1,1
jojochuang,107,0.9626168224299064,0.1308411214953271,19822.43909657321,7175.857389937108,-0.046063312944471,1,-6.7708584610061,1,-2.0165794036172158,1,1
kaijchen,1,0.0,0.0,9260.9,0.0,0.1620746276321119,1,0.2399916650548306,1,-1.0105903382928652,1,1
kihwal,1,1.0,0.0,18462.516666666663,0.0,0.1125059736181204,1,-0.0983510219513341,1,-0.979960276820284,1,1
klaus-xiong,1,0.0,0.0,17537.466666666667,0.0,0.155828565488814,1,0.4234455325460686,1,-1.3656964923735295,1,1
lamber-ken,1,0.0,0.0,2233.9166666666665,0.0,0.163250733733351,1,0.0376710911441584,1,-0.981060032500596,1,1
langlaile1221,1,0.0,0.0,3.333333333333333,0.0,0.1608785813682499,1,-0.0353401213004218,1,-0.9763314738194896,1,1
lfxy,2,0.0,0.0,12412.491666666669,11365.25,0.1420837945825221,1,0.5145732304100612,1,-1.2025626156228637,1,1
li-leyang,1,0.0,0.0,59.85,0.0,0.1608785813682499,1,-0.0334385092746281,1,-0.976000019891727,1,1
liubingxing,1,0.0,0.0,8.666666666666666,0.0,0.1608785813682499,1,-0.0351605564819763,1,-0.97630087718261,1,1
liuml07,10,0.9,0.1,2402.8949999999995,63161.9074074074,0.0244388028625551,1,1.4411502253705706,1,-0.994411639421983,1,1
majdyz,2,0.0,0.0,4726.041666666666,8013.083333333333,0.1452056274619232,1,0.2637349367167694,1,-1.005465175277945,1,1
mbsharp,1,0.0,0.0,10310.733333333334,0.0,0.1629728460875353,1,0.2665695187819032,1,-1.0299731092545057,1,1
mehakmeet,3,0.0,0.0,5934.405555555556,2.333333333333333,0.1383474438685796,1,0.1715025993188774,1,-0.9736162605003208,1,1
mukul1987,3,1.0,0.6666666666666666,30740.744444444445,106981.66666666666,-0.0954057598789308,1,-10.23897364106305,1,-2.425209151095344,1,1
mukund-thakur,10,1.0,0.0,30853.663333333338,53038.764814814815,0.0804196399161293,1,0.7413077169671816,1,-0.9988239398006312,1,1
omalley,13,0.2307692307692307,0.0,15499.911538461536,17396.481944444444,0.0385869083027872,1,1.7260669455683164,1,-5.766238079060399,1,1
oojas,1,0.0,0.0,17908.833333333332,0.0,0.1567484476040123,1,0.4302697735653602,1,-1.377441624464873,1,1
pjfanning,3,0.3333333333333333,0.0,6779.466666666667,15352.1,0.0883945570329072,1,1.4264399116523307,1,-7.994322074536105,-1,1
prasad-acit,1,0.0,0.0,94902.5,0.0,0.111046773759579,1,-0.6941417708210764,1,-3.539646752781728,1,1
premal,1,0.0,0.0,99354.61666666668,0.0,0.111046773759579,1,-0.897267982934963,1,-3.679298135969251,1,1
rakeshadr,2,1.0,0.0,4524.416666666667,8452.55,0.1101229911800051,1,-0.0005018061772865,1,-0.9808256569891558,1,1
saintstack,8,1.0,0.0,18355.504166666666,103288.10476190476,0.0624999648895738,1,-0.3865886884554221,1,-1.0882102973664378,1,1
secfree,2,0.0,0.0,156963.03333333333,193007.53333333333,-0.0641625039100682,1,-8.828625759534702,1,-2.8806004963114984,1,1
shuzirra,9,0.8888888888888888,0.0,19039.03888888889,25076.466666666667,0.0750961496893145,1,1.5483992503645396,1,-0.989966784993038,1,1
skysiders,1,0.0,0.0,251.75,0.0,0.1607289969490446,1,-0.027001675936308,1,-0.9755496808906708,1,1
slfan1989,9,0.0,0.1111111111111111,3587.80925925926,7484.3875,0.0525246948763925,1,0.0128566840607433,1,-3.8567930409492113,1,1
smengcl,4,0.75,0.5,11671.85,179933.0222222222,-0.1082979313914348,-1,-8.398884580447785,1,-2.1994594754303103,1,1
snvijaya,2,0.0,0.0,4886.333333333333,375164.1666666667,-0.0861354691916833,1,-15.331446263453817,-1,-8.70236955577704,-1,-1
sodonnel,13,1.0,0.0,10139.219230769231,51353.97638888889,0.079111155684349,1,0.7706964909835072,1,-0.9958193616139472,1,1
steveloughran,136,0.7720588235294118,0.0808823529411764,39752.16151960784,5665.823703703702,-0.1067678767980441,-1,-10.32001023043614,1,-2.3324882508663367,1,1
sumangala-patki,4,0.0,0.0,14607.816666666668,100261.65555555555,0.0777863308188047,1,-0.6424583197520697,1,-4.4603318218583805,1,1
sunchao,9,1.0,0.1111111111111111,6247.162962962964,38449.98541666667,0.0641022683839342,1,0.7711541339961094,1,-0.9947941845985628,1,1
surendralilhore,16,1.0,0.0,65493.471875,28465.11,0.0324814042253823,1,-0.0765840980023071,1,-1.000627459080556,1,1
swathic95,1,0.0,0.0,3189.483333333333,0.0,0.1628724243573442,1,0.0676620138424155,1,-0.9906860999405964,1,1
symious,1,0.0,0.0,1087.3333333333333,0.0,0.1628802733194354,1,0.0006650717412703,1,-0.9744872784896172,1,1
szilard-nemeth,61,0.3114754098360656,0.0327868852459016,28499.903005464475,9573.304166666663,-0.0755688211930254,1,-2.049348040581286,1,-4.535437567176223,1,1
tamaashu,1,0.0,0.0,203281.0833333333,0.0,0.0361803980261313,1,-7.726262020194047,1,-5.008031085684338,1,1
tangzhankun,1,1.0,0.0,11352.05,0.0,0.1161418836737865,1,-0.1514824876224807,1,-0.9811281048523158,1,1
tasanuma,120,0.975,0.0333333333333333,14013.61486111111,5398.380532212885,-0.0386039383490054,1,-8.433693357948341,1,-2.2142739522040964,1,1
tomicooler,5,0.0,0.0,20380.15333333333,75256.0625,0.0684754104629908,1,0.2657515889376078,1,-3.6453696342656783,1,1
tomscut,18,0.6666666666666666,0.1111111111111111,8630.062037037038,39564.19705882353,0.0099946585827251,1,1.906618700093229,1,-1.4128973206356523,1,1
umamaheswararao,1,1.0,0.0,10475.9,0.0,0.1164438409033533,1,-0.1614715546497116,1,-0.981043261665896,1,1
virajith,3,1.0,0.0,14237.72222222222,4125.283333333333,0.1056800234573664,1,0.0745656185703964,1,-0.9816826017086926,1,1
virajjasani,11,0.0909090909090909,0.0,68110.71515151515,63166.355,-0.0308068675872478,1,0.9731130773359736,1,-2.3900794269155456,1,1
xiaoyuyao,5,1.0,0.0,11106.003333333332,24085.92916666667,0.1071586027148118,1,0.4840313086631767,1,-0.9886793939975056,1,1
xinglin,4,0.25,0.0,18346.629166666666,123795.15555555555,0.0254288369961701,1,-0.3752840832067825,1,-4.294285491957264,1,1
xkrogen,2,1.0,0.0,20624.75,12878.533333333333,0.1108703497983332,1,0.2468895598829803,1,-0.984060210371194,1,1
younes-b,1,0.0,0.0,25358.3,0.0,0.1530360679585507,1,0.5414342408039268,1,-1.7030267104015553,1,1
zhaomin1423,3,0.0,0.0,326.1222222222222,231.40833333333336,0.1332716043918124,1,0.0017656905796208,1,-0.981824534094048,1,1
