people,commit_num,total_line_addition,total_line_deletion,total_file_edit_num,total_file_edit_type,sensitive_line_addition,sensitive_line_deletion,sensitive_file_edit_num,merge_rate,commit_interval,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
matiasgali,1,4,4,1,1,0,0,0,1.0,0.0,0.1960873970348691,1,4.276112152723499e-05,1,-1.2431245953161585,1,1
matlc,1,1,1,1,1,0,0,0,1.0,0.0,0.1967764109543482,1,1.1817233769306769e-07,1,-1.0,1,1
mauroveron,2,14,1,2,2,0,0,0,1.0,10.266666666666667,0.1914571844937098,1,0.0665534056035994,1,-1.18817913526853,1,1
mcrumm,28,373,165,39,34,2,1,1,0.9285714285714286,17961.054320987656,0.0190037931909574,1,-4.110382172668814,1,-6.6899845448444895,1,1
michaeldwan,1,1,0,1,1,0,0,0,1.0,0.0,0.1960624142316328,1,-3.231713527895863e-06,1,-112716.6515627694,1,1
michallepicki,2,1,2,2,2,0,0,0,1.0,219996.31666666668,0.1080520406122394,1,-17.91492250827787,-1,-6.519705273187147,1,1
miguel-s,1,1,1,1,1,0,0,0,1.0,0.0,0.1967764109543482,1,1.1817233769306769e-07,1,-1.0,1,1
milesmcc,2,2,2,2,2,0,0,0,1.0,1.9833333333333327,0.1914571844937098,1,0.0662264412952993,1,-1.1882243728066244,1,1
milmazz,22,606,438,29,26,0,0,0,0.8666666666666667,11059.32222222222,0.0494271030592168,1,0.4399903623948589,1,-6.04385506730624,1,1
mohsen-in,2,181,48,9,4,0,0,0,1.0,7294.666666666667,0.1599893203965055,1,0.2701940672438496,1,-1.9112516282519765,1,1
moogle19,3,15,19,9,4,0,0,0,1.0,82780.13333333333,0.1370211889738548,1,-1.6457523480612082,1,-5.662359684204921,1,1
mrkurt,3,5,4,4,3,0,0,0,1.0,27.741666666666667,0.1841079455970515,1,0.1169830796653599,1,-1.2957863342282772,1,1
mtrudel,1,94,1,4,3,0,0,0,0.0,0.0,0.151024022922213,1,-0.0200316801198638,1,-13.150659972027125,1,1
