people,pr_num,review_num,avg_review_num,avg_review_comment_length,avg_review_response_time,approve_rate,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
li4wang,5,22,4.4,300.8181818181818,12261.803333333331,0.0,0.0699422437208605,1,0.4075610566108292,1,-1.4607471534055976,1,1
maoling,15,33,2.2,112.15151515151516,19779.056666666664,0.3720930232558139,0.0039517697254823,1,-3.2911317848531727,1,-2.540540797953206,1,1
mathew-manu,1,2,2.0,39.5,71489.1,0.0,0.1375004396516379,1,0.6552793101983116,1,-1.020277880199806,1,1
mjulianotq,1,1,1.0,1771.0,758.7833333333333,0.0,-0.0471872792709096,1,-7.988904146475424,1,-3.9620883347521194,-1,1
nkalmar,1,3,3.0,93.66666666666669,0.9666666666666668,1.0,-0.0346575624389899,1,-7.566809186431127,1,-3.740381237607488,-1,1
pfcoperez,1,2,2.0,30.5,2500.4,0.0,0.1509394971343789,1,0.4397572097329618,1,-0.9905005075128936,1,1
polaris-alioth,1,2,2.0,59.0,4599.333333333333,0.0,0.1588727028986653,1,0.6172801202005598,1,-0.9848850215069284,1,1
rpinzon,1,1,1.0,45.0,808.5,0.0,0.1618758728549302,1,-0.0776990241404824,1,-0.9807243955156606,1,1
ruanwenjun,2,8,4.0,63.625,30812.275,0.0,0.1109594001001316,1,0.6038275603511103,1,-1.369402474348361,1,1
rvaleti,1,4,4.0,1311.0,40867.86666666667,0.0,-0.0193025226094012,1,-6.106644519092926,1,-2.620070160471218,1,1
smikes,1,5,5.0,195.4,7274.666666666667,0.0,0.1210566037252601,1,-0.0002398599673814,1,-1.5720221005048127,1,1
sonatype-lift[bot],28,340,12.142857142857142,798.1176470588235,34213.70892857144,0.0,-0.2691821267267067,-1,-9.078825007441438,-1,-3.6475154168754136,1,-1
srdo,1,7,7.0,322.57142857142856,1161.4833333333331,0.0,0.0822932367055296,1,-2.291781642967844,1,-1.9134999547084752,1,1
sudeepknair,1,1,1.0,59.0,1609.3833333333334,0.0,0.1664731340036618,1,0.0001760239329708,1,-0.983586886753086,1,1
symat,13,28,2.1538461538461537,196.78571428571428,20131.533333333333,0.6212121212121212,-0.0111879897613194,1,-4.3867049732212,1,-2.7660448666773965,1,1
tisonkun,6,14,2.333333333333333,219.78571428571428,43380.39444444444,0.125,0.0501883274499881,1,1.41120424475662,1,-1.484134946225345,1,1
zhongxiongzeng,2,3,1.5,26.33333333333333,10994.866666666669,0.0,0.1339745373859988,1,0.4038932707321248,1,-0.9873298314989052,1,1
ztzg,11,35,3.1818181818181817,401.1428571428572,14175.85303030303,0.4931506849315068,-0.0349544345598696,1,-3.0089408238723445,1,-2.2255270135620453,1,1
